policy,cold_events,total_invocations,active_app_minutes,cold_ratio_per_1k,cold_minute_ratio,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,p999_latency_s,slo_violation_rate,mean_prewarm_mem_gb,p95_prewarm_mem_gb,max_prewarm_mem_gb,gb_hours,mean_exec_mem_gb,mean_total_mem_gb,exec_gb_hours,apps_with_cold,apps_with_cold_share,cold_slo_events,cold_slo_per_1k,mean_cold_added_ms,cold_per_app_day,prewarm_attempts,prewarm_per_1k,wasted_prewarms,wasted_prewarm_rate,retained_container_minutes,total_inits,total_inits_per_1k,budget_utilization,cand_k_mean,cand_k_p95,cand_k_max,knapsack_gap_mean,brier_score,cal_pred_frac,subminute_extra_cold,subminute_extra_per_1k,cold_plus_subminute_per_1k,cal_bin0_count,cal_bin0_hit,cal_bin1_count,cal_bin1_hit,cal_bin2_count,cal_bin2_hit,cal_bin3_count,cal_bin3_hit,cal_bin4_count,cal_bin4_hit,cal_bin5_count,cal_bin5_hit,cal_bin6_count,cal_bin6_hit,cal_bin7_count,cal_bin7_hit,cal_bin8_count,cal_bin8_hit,cal_bin9_count,cal_bin9_hit,part,budget_gb,seed,full_warm_gb,n_apps
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.1936843498855248,0.0267095461192674,0.8380079267466239,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314559214481635,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,1689531.0,0.135207792501183,0.000156672417087,7.121796984427783,25170738,2.014334108463024,10181802,0.4045094744540267,104547568,27590981,2.20801845834855,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.0419508737234939,0.376537039851987,505747.1655252823,0.0404733371654049,0.2341576870509298,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,seeds,1024,0,3831.793,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.838009381044736,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2319311479382045,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,12804786.0,1.024726298901916,0.0016109705290073,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321436,11913.265439753955,12790.0,13109.0,,,,300110.20685231936,0.0240168653759981,1.35212363687954,,,,,,,,,,,,,,,,,,,,,seeds,1024,0,3831.793,24274
Planner-Popularity,25227914,12495810846.0,90613408,2.0189097218989707,0.2784125943039246,0.838010282147825,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2322198683620559,1023.8830011065044,1023.9938354492188,1024.00146484375,344024.6883717855,229.42029126523033,1253.3032923717346,77085.21786511739,24274,1.0,19796045.0,1.584214521487964,0.0025120736180825,74.23555479701974,1327523,0.1062374436009448,717614,0.5405661521495296,143436899,26555437,2.1251471654999152,0.9998857432680708,11913.265439753955,12790.0,13109.0,,,,28681.80956582185,0.0022953139991714,2.021205035898142,,,,,,,,,,,,,,,,,,,,,seeds,1024,0,3831.793,24274
BALM-JIT (hazard),331496,12495810846.0,90613408,0.0265285705814052,0.0036583548430272,0.8380078013425704,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314241117427869,1535.818204165262,1535.9927978515625,1536.0,516034.916599528,2.6206882364493573,1538.4388924017112,880.551247446984,24274,1.0,287024.0,0.0229696178613233,3.126836341259593e-05,0.97545875069151,8084819,0.6470023513990698,5820506,0.7199302792060033,190348463,8416315,0.673530921980475,0.9998816433367592,11913.265439753955,12790.0,13109.0,6.288869513665953e-08,0.0419508737234939,0.376537039851987,63011.36993264516,0.0050425995326918,0.031571170114097,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,seeds,1536,0,3831.793,24274
Planner-LRU,1306979,12495810846.0,90613408,0.1045933726196226,0.0144236821994378,0.8380079005045814,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314464849327969,1535.3837173855493,1535.9913391113282,1536.0037841796875,515888.9290415446,10.20055261333473,1545.584269998884,3427.3856780804695,24274,1.0,1161748.0,0.0929709975861137,0.0001304303744477,3.845910968820254,2339892,0.187254114905958,2112432,0.9027903851972656,195677075,3646871,0.2918474875255806,0.9995987743395504,11913.265439753955,12790.0,13109.0,,,,32462.219460120068,0.002597848179697,0.1071912207993197,,,,,,,,,,,,,,,,,,,,,seeds,1536,0,3831.793,24274
Planner-Popularity,5991460,12495810846.0,90613408,0.4794774884030763,0.0661211197353928,0.8380083866737851,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.231580528290687,1535.8094622717963,1535.99169921875,1536.004150390625,516031.9793233236,79.30838714774166,1615.1178494195378,26647.6180816412,24274,1.0,4950329.0,0.3961590857134842,0.0006165995780525,17.63044527360256,502975,0.0402514895750847,320990,0.6381828122670112,211676889,6494435,0.519728977978161,0.9998759519998672,11913.265439753955,12790.0,13109.0,,,,12878.272137743628,0.0010306071607882,0.4805080955638646,,,,,,,,,,,,,,,,,,,,,seeds,1536,0,3831.793,24274
TTL-20m,1009201,12495810846.0,90613408,0.0807631463406036,0.0111374356430783,0.83800787128188,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314371861988728,1552.8695860847597,1723.9231567382812,1801.6561279296875,521764.1809244791,7.727112807596605,1560.596698892356,2596.309903352459,24274,1.0,915260.0,0.0732453468830301,0.0001012076730766,2.9696706646735485,0,0.0,0,0.0,200186826,1009201,0.0807631463406036,,0.0,0.0,0.0,,,,0.0,0.0,0.0807631463406036,,,,,,,,,,,,,,,,,,,,,seeds,-1,0,3831.793,24274
BALM-JIT (hazard),2408883,12495810846.0,90613408,0.1927752452151675,0.0265841783591231,0.8380079261947772,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2314567139369469,1023.8466210501534,1023.9916412353516,1024.0,344012.46467285155,23.975514343659587,1047.822135393813,8055.772819469621,24274,1.0,1720393.0,0.1376775802068667,0.0001561205703144,7.088369095681446,25117345,2.0100612364855257,10162322,0.4045937976326718,104684943,27526228,2.202836481700693,0.9998502158692903,11913.265439753955,12790.0,13109.0,8.716637713789256e-06,0.0419508737234939,0.376537039851987,511569.163065212,0.0409392531120914,0.233714498327259,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,seeds,1024,1,3831.793,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035415,0.18314917589238,0.838009360473088,0.2216347665069394,2.985513856491193,36.38836624469137,57.07322071880443,0.2319341742195568,1023.7515703625148,1023.9915771484376,1024.0009765625,343980.527641805,123.97276123979736,1147.7243316023123,41654.84777657191,24274,1.0,12842907.0,1.0277770012908851,0.0015903988811749,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321436,11913.265439753955,12790.0,13109.0,,,,297335.4807330016,0.023794812869481,1.3519015843730229,,,,,,,,,,,,,,,,,,,,,seeds,1024,1,3831.793,24274
Planner-Popularity,25227914,12495810846.0,90613408,2.0189097218989707,0.2784125943039246,0.8380102633753981,0.2216347665069394,3.1386143822518155,36.38836624469137,57.07322071880443,0.2322161642103177,1023.8830011065044,1023.9938354492188,1024.00146484375,344024.6883717855,229.42029126523033,1253.3032923717346,77085.21786511739,24274,1.0,19693630.0,1.576018574761323,0.0024933011911996,74.23555479701974,1327523,0.1062374436009448,717614,0.5405661521495296,143436899,26555437,2.1251471654999152,0.9998857432680708,11913.265439753955,12790.0,13109.0,,,,28880.046621757698,0.0023111782802796,2.0212209001792503,,,,,,,,,,,,,,,,,,,,,seeds,1024,1,3831.793,24274
BALM-JIT (hazard),2420243,12495810846.0,90613408,0.19368434988552483,0.02670954611926747,0.8380079267466239,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23145592144816352,1023.847720167372,1023.9918823242188,1023.9999389648438,344012.833976237,23.983493162100277,1047.8312133294723,8058.453702465693,24274,1.0,1689531.0,0.135207792501183,0.00015667241708706967,7.121796984427783,25170738,2.014334108463024,10181802,0.40450947445402674,104547568,27590981,2.2080184583485494,0.9998512892259492,11913.265439753955,12790.0,13109.0,8.510044255294546e-06,0.04195087372349391,0.37653703985198705,505747.1655252823,0.040473337165404966,0.2341576870509298,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,seeds,1024,0,3831.79296875,24274
Planner-LRU,16595771,12495810846.0,90613408,1.3281067715035417,0.18314917589238008,0.838009381044736,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23193114793820455,1023.7515703625149,1023.9915771484375,1024.0009765625,343980.527641805,123.97276123979735,1147.7243316023123,41654.84777657191,24274,1.0,12804786.0,1.024726298901916,0.0016109705290073906,48.834646711943414,17827516,1.4266794063793562,15154208,0.8500459626568277,113688247,34423287,2.754786177882898,0.9997573929321435,11913.265439753955,12790.0,13109.0,,,,300110.20685231936,0.024016865375998134,1.35212363687954,,,,,,,,,,,,,,,,,,,,,seeds,1024,0,3831.79296875,24274
Planner-Popularity,25227914,12495810846.0,90613408,2.0189097218989707,0.2784125943039246,0.838010282147825,0.22163476650693947,3.1386143822518155,36.38836624469137,57.07322071880443,0.2322198683620559,1023.8830011065044,1023.9938354492188,1024.00146484375,344024.6883717855,229.42029126523033,1253.3032923717346,77085.21786511739,24274,1.0,19796045.0,1.584214521487964,0.0025120736180825882,74.23555479701974,1327523,0.10623744360094485,717614,0.5405661521495296,143436899,26555437,2.1251471654999152,0.9998857432680707,11913.265439753955,12790.0,13109.0,,,,28681.80956582185,0.002295313999171419,2.021205035898142,,,,,,,,,,,,,,,,,,,,,seeds,1024,0,3831.79296875,24274
BALM-JIT (hazard),331496,12495810846.0,90613408,0.02652857058140523,0.003658354843027204,0.8380078013425704,0.22163476650693947,2.985513856491193,36.38836624469137,57.07322071880443,0.23142411174278693,1535.818204165262,1535.9927978515625,1536.0,516034.916599528,2.6206882364493573,1538.4388924017112,880.551247446984,24274,1.0,287024.0,0.02296961786132338,3.126836341259593e-05,0.9754587506915101,8084819,0.6470023513990698,5820506,0.7199302792060033,190348463,8416315,0.673530921980475,0.9998816433367591,11913.265439753955,12790.0,13109.0,6.288869513665953e-08,0.04195087372349391,0.37653703985198705,63011.36993264516,0.005042599532691835,0.03157117011409706,126333158.0,1339640.0,10729434.0,1501642.0,5847803.0,1401955.0,3987502.0,1380652.0,3566325.0,1616925.0,3070959.0,1670869.0,4001094.0,2632111.0,8181063.0,6148281.0,7298982.0,6164452.0,67143198.0,66572427.0,seeds,1536,0,3831.79296875,24274
